course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP,coursetitle,units,prereqs,description,overallrating,studentcomments,reviewcount,wouldtakeagain,difficultylevel
JAPAN     3,CANTRELL A M,Spring,2024,7,5,2,0,2,32,0,3.0125,0,JAPAN,0,0,0,7,0,0,3,5,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
JAPAN     3,PIERCE K T,Spring,2024,24,5,3,0,0,52,0,3.357692308,0,JAPAN,0,0,0,4,1,1,7,3,4,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
JAPAN     6,TSUCHIYA Y,Spring,2024,5,6,0,0,0,25,0,3.484,0,JAPAN,0,0,1,5,0,0,7,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
JAPAN     6,YAMAUCHI Y,Spring,2024,4,0,1,0,0,8,0,3.6625,0,JAPAN,0,0,2,1,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
JAPAN   120C,YAMAUCHI Y,Spring,2024,11,1,1,1,0,24,0,3.6125,0,JAPAN,0,0,5,1,1,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
JAPAN   165,HARRIS S D,Spring,2024,8,5,1,1,0,27,0,3.381481481,0,JAPAN,0,0,3,0,0,0,6,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
JAPAN   180TV,FINLAY M M,Spring,2024,8,2,0,0,0,26,0,3.7,0,JAPAN,0,0,6,2,0,0,6,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
KOR       3,LEE W A,Spring,2024,18,5,1,0,0,36,0,3.505555556,0,KOR,0,0,0,3,0,0,5,2,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
KOR       6,LEE W A,Spring,2024,5,2,0,0,1,15,0,3.34,0,KOR,0,0,0,1,1,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LAIS     10,BERMUDEZ S,Spring,2024,16,0,0,0,1,34,0,3.679411765,0,LAIS,0,0,2,6,0,0,9,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LAIS    156A,COBO BETANCOU,Spring,2024,4,0,0,0,3,17,0,2.852941176,0,LAIS,0,0,1,1,1,0,4,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LATIN     3,DUTSCH D,Spring,2024,4,0,1,0,0,12,0,3.591666667,0,LATIN,0,0,2,1,0,0,3,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LATIN   102,MORSTEIN-MARX,Spring,2024,2,0,0,0,0,5,0,3.88,0,LATIN,0,0,1,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING      3B,KROKHMAL A,Spring,2024,5,0,0,0,0,18,0,3.8,0,LING,0,0,11,0,0,0,1,0,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING      3C,KROKHMAL A,Spring,2024,2,0,0,0,0,17,0,3.923529412,0,LING,0,0,14,0,0,0,0,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING      3C,TSAI D,Spring,2024,6,2,0,0,0,17,0,3.623529412,0,LING,0,0,3,4,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING      3C,WEBB M T,Spring,2024,2,1,0,0,0,6,0,3.55,0,LING,0,0,0,2,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING      3G,BOWMAN I K,Spring,2024,0,0,0,0,0,0,16,0,16,LING,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING     12,BAKER A D,Spring,2024,23,1,0,0,0,30,0,3.78,0,LING,0,0,0,1,1,0,3,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING     12,WESTMACOTT B,Spring,2024,23,1,0,0,0,25,0,3.948,0,LING,0,0,0,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING     14,CHAU T C,Spring,2024,1,0,0,1,0,10,0,3.63,0,LING,0,0,7,1,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING     15,KENNEDY R A,Spring,2024,22,37,19,3,6,211,0,2.864454976,0,LING,0,0,10,27,17,7,26,29,7,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING     80,PEREZ GONZALE,Spring,2024,5,2,0,0,2,44,0,3.745454545,0,LING,0,0,31,0,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING    105,GRIES S T,Spring,2024,6,2,0,0,2,17,0,3.158823529,0,LING,0,0,2,1,1,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING    108,MITHUN M,Spring,2024,15,6,3,2,3,41,0,3.165853659,0,LING,0,0,4,1,1,0,6,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING    115,GORDON M K,Spring,2024,9,0,1,0,1,33,0,3.503030303,0,LING,0,0,4,5,0,0,10,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING    127,BREHM L E,Spring,2024,63,16,2,1,1,117,0,3.560683761,0,LING,0,0,0,12,1,0,13,8,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING    140,KESSLER K E,Spring,2024,18,0,0,0,0,23,0,4,0,LING,0,0,5,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING    146,BARNWELL B B,Spring,2024,14,9,1,0,4,59,0,3.144067797,0,LING,0,0,8,7,2,0,8,1,5,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING    147CS,KELLY M C,Spring,2024,14,0,0,0,0,29,0,3.906896552,0,LING,0,0,12,2,0,0,0,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING    148AA,WEBB M T,Spring,2024,10,0,0,0,1,13,0,3.584615385,0,LING,0,0,0,2,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING    149,BELMAR VIERNE,Spring,2024,46,0,1,0,6,113,0,3.659292035,0,LING,0,0,43,4,2,0,8,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING W    3C,LASHMET A J,Spring,2024,13,0,0,0,0,17,0,3.882352941,0,LING,0,0,0,2,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING W    3C,SMALL A L,Spring,2024,12,0,0,0,0,17,0,3.888235294,0,LING,0,0,0,1,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING W    3C,TSAI D,Spring,2024,8,0,1,0,1,18,0,3.166666667,0,LING,0,0,2,1,2,0,0,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING W   12,CORONA K D,Spring,2024,29,0,0,0,0,33,0,3.872727273,0,LING,0,0,0,0,0,0,3,0,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
LING W   12,NICOLAESCU A,Spring,2024,27,1,0,0,1,29,0,3.827586207,0,LING,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MAT      80AS,FLATLEY D J,Spring,2024,4,1,0,2,2,22,0,2.813636364,0,MAT,0,0,4,1,0,0,3,2,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MAT      80AS,NOVAK M J,Spring,2024,4,1,0,2,2,22,0,2.813636364,0,MAT,0,0,4,1,0,0,3,2,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      3A,YAN Z X,Spring,2024,63,2,2,1,2,85,0,3.636470588,0,MATH,0,0,0,4,1,1,6,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      3B,YE R,Spring,2024,37,20,25,1,1,196,0,2.974489796,0,MATH,0,0,0,40,31,0,16,19,6,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      4A,ALONSO RODRIG,Spring,2024,28,7,9,1,6,104,0,3.028846154,0,MATH,0,0,11,9,8,4,10,10,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      4A,MORRISON D R,Spring,2024,104,51,5,0,0,282,0,3.60035461,0,MATH,0,0,1,35,1,0,85,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      4B,CHO G,Spring,2024,50,14,1,0,2,141,0,3.643262411,0,MATH,0,0,25,17,2,0,28,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      4B,TIAN W,Spring,2024,78,5,1,0,0,140,0,3.685714286,0,MATH,0,0,12,10,2,0,20,7,5,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      4B,ZHANG Q,Spring,2024,67,13,8,2,2,201,0,3.569651741,0,MATH,0,0,54,12,7,1,25,10,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      6A,GAMBHEERA ARA,Spring,2024,29,10,8,1,1,150,0,3.212666667,0,MATH,0,0,0,31,16,0,37,14,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      6A,SCHLEY N B,Spring,2024,41,13,6,1,0,144,0,3.38125,0,MATH,0,0,22,15,9,3,21,10,2,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      6A,YAN Z X,Spring,2024,129,5,0,0,0,151,0,3.881456954,0,MATH,0,0,0,1,1,0,10,4,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      6B,LANDRY T B,Spring,2024,75,5,4,0,0,85,0,3.847058824,0,MATH,0,0,1,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      6B,SCHLEY N B,Spring,2024,26,5,0,0,3,78,0,3.607692308,0,MATH,0,0,24,6,3,0,10,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      8,ABDO E,Spring,2024,5,0,0,0,0,36,0,3.897222222,0,MATH,0,0,26,2,1,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      8,AGBOOLA A,Spring,2024,9,6,5,0,5,25,0,2.56,0,MATH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      8,ALONSO RODRIG,Spring,2024,3,2,3,1,1,23,0,2.939130435,0,MATH,0,0,5,1,3,1,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      8,SCHLEY N B,Spring,2024,3,1,2,0,2,26,0,3.05,0,MATH,0,0,7,5,1,0,1,3,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      8,SUNG B O,Spring,2024,5,2,1,0,1,26,0,3.473076923,0,MATH,0,0,10,3,1,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      8,TIAN W,Spring,2024,16,4,0,0,1,35,0,3.52,0,MATH,0,0,0,4,0,0,7,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH      8,ZHANG YITANG,Spring,2024,15,7,1,0,0,35,0,3.611428571,0,MATH,0,0,0,0,0,0,11,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH     34A,PORTER M J,Spring,2024,83,3,0,0,9,197,0,3.744162437,0,MATH,0,0,82,6,0,0,13,0,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH     34B,PORTER M J,Spring,2024,234,14,1,1,1,362,0,3.888950276,0,MATH,0,0,75,10,0,1,25,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    101B,OGRAIN C M,Spring,2024,5,3,5,2,2,24,0,2.595833333,0,MATH,0,0,0,1,3,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    104B,SU X,Spring,2024,7,7,9,2,1,55,0,2.901818182,0,MATH,0,0,11,5,0,0,4,4,1,4,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    104C,PARK J,Spring,2024,28,9,2,0,1,40,0,3.575,0,MATH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    104C,SU X,Spring,2024,5,2,6,0,1,29,0,3.003448276,0,MATH,0,0,4,2,1,1,4,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    104C,YANG XU,Spring,2024,16,3,0,0,0,56,0,3.816071429,0,MATH,0,0,24,5,1,0,7,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    108A,GARFIELD P M,Spring,2024,10,5,4,1,2,46,0,3.05,0,MATH,0,0,7,3,4,2,5,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    108A,SHAH S,Spring,2024,14,3,6,2,2,53,0,3.167924528,0,MATH,0,0,9,5,5,0,6,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    108A,SUNG B O,Spring,2024,5,0,1,3,6,34,0,2.588235294,0,MATH,0,0,7,5,1,0,2,3,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    108B,MULLATH MOHAM,Spring,2024,8,6,2,0,4,49,0,2.863265306,0,MATH,0,0,0,8,7,0,7,6,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    108B,YE R,Spring,2024,3,1,6,5,3,26,0,1.923076923,0,MATH,0,0,0,2,2,0,0,0,4,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    108C,BUENO CACHADI,Spring,2024,10,5,4,2,1,49,0,3.153061224,0,MATH,0,0,2,8,2,0,11,3,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    111C,LIU Z,Spring,2024,4,6,5,1,2,24,0,2.804166667,0,MATH,0,0,3,2,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    115B,ZHANG YITANG,Spring,2024,19,5,0,0,0,30,0,3.773333333,0,MATH,0,0,0,0,0,0,6,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    117,ABDO E,Spring,2024,20,1,0,0,0,72,0,3.926388889,0,MATH,0,0,46,2,0,0,1,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    117,ZHOU BOHAN,Spring,2024,7,2,0,0,5,50,0,2.682,0,MATH,0,0,7,5,8,5,3,6,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    118C,GARCIA-CERVER,Spring,2024,14,4,2,1,0,51,0,3.454901961,0,MATH,0,0,8,5,3,0,11,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    118C,ZHOU HANMING,Spring,2024,1,4,1,0,1,19,0,2.989473684,0,MATH,0,0,4,2,0,0,2,3,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    122B,JACOBS M A,Spring,2024,11,6,4,0,0,38,0,3.286842105,0,MATH,0,0,4,2,1,0,5,3,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    124B,ATZBERGER P J,Spring,2024,21,4,4,0,1,46,0,3.291304348,0,MATH,0,0,0,2,5,0,6,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    137A,CASTEELS K L,Spring,2024,16,12,10,5,3,68,0,2.847058824,0,MATH,0,0,4,5,5,0,3,5,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    145,KUMAR S L,Spring,2024,40,11,1,0,2,68,0,3.589705882,0,MATH,0,0,7,5,2,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    147A,DAI X Z,Spring,2024,7,4,7,2,5,41,0,2.165853659,0,MATH,0,0,0,2,1,3,2,0,7,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH    182,GARFIELD P M,Spring,2024,56,0,0,1,0,57,0,3.947368421,0,MATH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH CS 108B,BUENO CACHADI,Spring,2024,0,0,0,0,0,0,20,0,20,MATH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH CS 117,CRAIG K C,Spring,2024,0,0,0,0,0,0,19,0,19,MATH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH CS 120FC,CASTEELS K L,Spring,2024,0,0,0,0,0,0,11,0,11,MATH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH CS 120TC,MANIN F,Spring,2024,0,0,0,0,0,0,21,0,21,MATH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATH CS 122B,MCCAMMOND J P,Spring,2024,0,0,0,0,0,0,21,0,21,MATH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MATRL   100C,RENUKA BALAKR,Spring,2024,5,0,0,0,0,22,0,3.613636364,0,MATRL,0,0,4,4,0,0,8,0,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB      1A,GONZALEZ NINO,Spring,2024,35,20,11,19,3,169,0,2.85147929,0,MCDB,0,0,10,18,14,0,16,11,12,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB      1A,KRANZFELDER P,Spring,2024,35,20,11,19,3,169,0,2.85147929,0,MCDB,0,0,10,18,14,0,16,11,12,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB      1A,NGUYEN A T,Spring,2024,35,20,11,19,3,169,0,2.85147929,0,MCDB,0,0,10,18,14,0,16,11,12,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB      6,AZARENKO O,Spring,2024,10,26,20,2,2,118,0,2.688135593,0,MCDB,0,0,4,11,8,5,9,11,10,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB     12,KRANZFELDER P,Spring,2024,0,0,0,0,0,0,31,0,31,MCDB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB     13,GONZALEZ NINO,Spring,2024,0,0,0,0,0,0,36,0,36,MCDB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    101B,CHRISTOFFERSE,Spring,2024,68,33,12,1,4,217,0,3.223041475,0,MCDB,0,0,13,35,20,2,11,16,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    108C,LOUIS M R,Spring,2024,45,13,4,1,0,127,0,3.471653543,0,MCDB,0,0,11,13,10,0,23,6,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    109L,LEW G J,Spring,2024,10,5,1,0,0,35,0,3.568571429,0,MCDB,0,0,0,6,0,0,13,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    110,WILTON M B,Spring,2024,32,24,10,10,5,187,0,3.022459893,0,MCDB,0,0,16,21,11,0,30,18,10,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    111,THROWER D A,Spring,2024,36,58,18,17,8,216,0,2.746759259,0,MCDB,0,0,4,19,20,4,14,14,0,4,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    118,FINKELSTEIN R,Spring,2024,3,3,7,0,0,25,0,2.924,0,MCDB,0,0,3,2,1,0,2,3,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    133,DE TOMASO A W,Spring,2024,42,37,25,7,0,130,0,2.988461538,0,MCDB,0,0,0,11,1,0,1,0,6,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    133H,DE TOMASO A W,Spring,2024,21,0,0,0,0,21,0,4,0,MCDB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    133L,STOYAN T,Spring,2024,9,0,0,0,0,17,0,3.911764706,0,MCDB,0,0,3,0,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    135,MORRISSEY M A,Spring,2024,112,25,4,1,0,187,0,3.668983957,0,MCDB,0,0,0,12,4,0,28,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    135H,MORRISSEY M A,Spring,2024,19,0,0,0,0,19,0,4,0,MCDB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    136H,SAMUEL C E,Spring,2024,5,2,0,0,0,12,0,3.491666667,0,MCDB,0,0,0,3,1,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    136H,SEARS D W,Spring,2024,5,2,0,0,0,12,0,3.491666667,0,MCDB,0,0,0,3,1,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    139,LOW S H,Spring,2024,10,6,3,1,1,40,0,3.1925,0,MCDB,0,0,2,4,4,0,8,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    140L,LOW S H,Spring,2024,17,11,0,0,0,60,0,3.481666667,0,MCDB,0,0,7,9,0,0,7,9,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    140L,SMITH W,Spring,2024,14,8,0,0,0,41,0,3.580487805,0,MCDB,0,0,7,4,0,0,4,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    145,WAITE J H,Spring,2024,3,0,0,0,0,5,0,3.88,0,MCDB,0,0,0,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    146,CLEGG D O,Spring,2024,21,6,0,0,0,43,0,3.709302326,0,MCDB,0,0,3,4,0,0,8,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    153,FEINSTEIN S C,Spring,2024,67,39,19,2,3,186,0,3.223655914,0,MCDB,0,0,2,16,2,0,21,6,9,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    183,CHRISTOFFERSE,Spring,2024,0,0,0,0,0,0,12,0,12,MCDB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    183,GONZALEZ NINO,Spring,2024,0,0,0,0,0,0,5,0,5,MCDB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    183,MORRISSEY M A,Spring,2024,0,0,0,0,0,0,10,0,10,MCDB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    187,STOYAN T,Spring,2024,0,0,0,0,0,0,105,0,105,MCDB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    187,WEIMBS T,Spring,2024,0,0,0,0,0,0,105,0,105,MCDB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    188,FINKELSTEIN R,Spring,2024,4,0,0,0,0,5,0,4,0,MCDB,0,0,1,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
MCDB    194BG,HAYES C S,Spring,2024,8,0,0,0,0,11,0,4,0,MCDB,0,0,3,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME       10,TSAI G T,Spring,2024,62,3,2,0,1,94,0,3.714893617,0,ME,0,0,4,4,4,0,12,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME       12S,FIELDS K,Spring,2024,9,1,0,0,0,24,0,3.945833333,0,ME,0,0,13,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME       13,ELLISON K L,Spring,2024,1,0,0,0,0,12,0,3.758333333,0,ME,0,0,8,0,0,0,1,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME       16,CHIKMAGALUR K,Spring,2024,13,9,2,0,1,67,0,3.291044776,0,ME,0,0,7,11,4,0,13,4,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      100,STOWERS R S,Spring,2024,0,0,0,0,0,0,16,0,16,ME,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      100,ZHU Y,Spring,2024,0,0,0,0,0,0,16,0,16,ME,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      104,MARKS T G,Spring,2024,49,9,3,1,3,107,0,3.489719626,0,ME,0,0,0,12,3,0,24,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      125F,SAURET A O,Spring,2024,4,1,0,0,0,15,0,3.74,0,ME,0,0,7,0,0,0,1,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      125YV,VISELL Y,Spring,2024,13,2,0,0,0,23,0,3.713043478,0,ME,0,0,2,1,1,0,3,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      129,TSAI G T,Spring,2024,42,0,0,0,0,46,0,3.965217391,0,ME,0,0,0,1,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      135,LUZZATTO-FEGI,Spring,2024,7,5,0,0,0,24,0,3.558333333,0,ME,0,0,0,5,0,0,7,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      146,VALENTINE M T,Spring,2024,1,3,0,0,0,14,0,3.564285714,0,ME,0,0,7,2,1,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ME      151C,ZHU Y,Spring,2024,17,3,0,0,0,41,0,3.890243902,0,ME,0,0,16,0,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
